ID,Relationship_StartNode_NodeID,Relationship_StartNode_NodeIDType,Relationship_EndNode_NodeID,Relationship_EndNode_NodeIDType,Relationship_RelationshipType,Relationship_RelationshipStatus,Relationship_Period_1_startDate,Relationship_Period_1_endDate,Relationship_Period_1_periodType,Relationship_Period.2.startDate,Relationship_Period.2.endDate,Relationship_Period.2.periodType,Relationship_Period.3.startDate,Relationship_Period.3.endDate,Relationship_Period.3.periodType,Relationship_Qualifiers.1.QualifierDimension,Relationship_Qualifiers.1.QualifierCategory,Relationship_Quantifiers.1.MeasurementMethod,Relationship_Quantifiers.1.QuantifierAmount,Relationship_Quantifiers.1.QuantifierUnits,Registration.InitialRegistrationDate,Registration.LastUpdateDate,Registration.RegistrationStatus,Registration.NextRenewalDate,Registration.ManagingLOU,Registration.ValidationSources,Registration.ValidationDocuments,Registration.ValidationReference
166207,5493000147KPVMI5CY09,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z,ACCOUNTING_PERIOD,2017-10-02T00:00:00Z,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,,,,,2016-05-05T01:55:00Z,2023-07-31T17:11:36.903Z,LAPSED,2022-05-27T19:36:00Z,213800WAVVOPS85N2205,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
166938,54930004TA03FZEJTM42,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2017-01-01T00:00:00.000Z,2017-12-31T00:00:00.000Z,ACCOUNTING_PERIOD,2017-10-19T00:00:00.000Z,,RELATIONSHIP_PERIOD,,,,,,,,,2016-05-05T01:52:00.000Z,2023-07-31T17:34:15.017Z,LAPSED,2019-07-19T00:32:00.000Z,5493001KJTIIGC8Y1R12,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
166966,54930004XKXOKX76FG65,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2017-01-01T00:00:00.000Z,2017-12-31T00:00:00.000Z,ACCOUNTING_PERIOD,2017-10-02T00:00:00.000Z,,RELATIONSHIP_PERIOD,,,,,,,,,2016-05-05T01:55:00.000Z,2023-07-31T17:34:15.017Z,LAPSED,2019-07-19T00:33:00.000Z,5493001KJTIIGC8Y1R12,PARTIALLY_CORROBORATED,SUPPORTING_DOCUMENTS,
167129,54930005TDPE6CXRMS64,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-10-02T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,OTHER_ACCOUNTING_STANDARD,,,,2016-05-05T00:00:00+00:00,2024-04-21T11:51:25+00:00,PUBLISHED,2025-05-27T14:17:30+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,OTHER_OFFICIAL_DOCUMENTS,https://find-and-update.company-information.service.gov.uk/company/05943937/filing-history/MzI3Nzk0MzgwMmFkaXF6a2N4/document?format=pdf&download=0
167241,54930006IJZP67E25S19,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2019-01-01T00:00:00.000Z,2019-12-31T00:00:00.000Z,ACCOUNTING_PERIOD,2017-10-24T00:00:00.000Z,,RELATIONSHIP_PERIOD,,,,,,,,,2017-10-06T01:57:00.000Z,2023-07-31T17:34:15.017Z,LAPSED,2021-06-11T18:01:00.000Z,5493001KJTIIGC8Y1R12,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
167870,5493000AI27HXLDYHX23,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-10-02T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,OTHER_ACCOUNTING_STANDARD,,,,2016-05-05T00:00:00+00:00,2024-04-24T19:40:02+00:00,PUBLISHED,2025-05-27T14:17:50+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,OTHER_OFFICIAL_DOCUMENTS,https://www.ffiec.gov/npw/Institution/Profile/1951350?dt=20170701
168808,5493000E5QGEGVVJOL68,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-09-27T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,US_GAAP,,,,2014-11-13T00:00:00+00:00,2024-04-29T13:19:55+00:00,PUBLISHED,2025-05-27T14:18:04+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,https://www.ffiec.gov/npw/Institution/Profile/3706059?dt=20200302
169225,5493000FNFK79LCM6M65,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2020-01-01T00:00:00.000Z,2020-12-31T00:00:00.000Z,ACCOUNTING_PERIOD,2017-10-02T00:00:00.000Z,,RELATIONSHIP_PERIOD,,,,,,,,,2013-05-30T15:14:00.000Z,2023-07-31T17:34:15.017Z,LAPSED,2022-05-27T20:19:00.000Z,5493001KJTIIGC8Y1R12,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
169343,5493000G2JQJ8ZC44232,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2017-01-01T00:00:00Z,2017-12-31T00:00:00Z,ACCOUNTING_PERIOD,2017-10-02T00:00:00Z,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,IFRS,,,,2016-05-05T01:52:00Z,2023-08-21T13:26:43.157Z,LAPSED,2019-07-19T00:00:00Z,213800WAVVOPS85N2205,PARTIALLY_CORROBORATED,SUPPORTING_DOCUMENTS,
169440,5493000GHO1ZTU3PT140,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2017-01-01T00:00:00.000Z,2017-12-31T00:00:00.000Z,ACCOUNTING_PERIOD,2017-10-02T00:00:00.000Z,,RELATIONSHIP_PERIOD,,,,,,,,,2016-05-05T01:53:00.000Z,2023-07-31T17:34:15.017Z,LAPSED,2019-07-19T00:33:00.000Z,5493001KJTIIGC8Y1R12,PARTIALLY_CORROBORATED,SUPPORTING_DOCUMENTS,
170607,5493000KEM7J6O5D9H97,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2017-09-06T01:37:44.925Z,,RELATIONSHIP_PERIOD,2017-01-01T00:00:00Z,2017-12-31T00:00:00Z,ACCOUNTING_PERIOD,,,,,,,,,2017-09-06T01:37:00Z,2022-07-21T18:37:00Z,LAPSED,2018-07-25T19:41:00Z,52990034RLKT0WSOAM90,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
170822,5493000L2QFXOVB3Z177,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2020-01-01T00:00:00.000Z,2020-12-31T00:00:00.000Z,ACCOUNTING_PERIOD,2017-10-02T00:00:00.000Z,,RELATIONSHIP_PERIOD,,,,,,,,,2016-05-05T01:51:00.000Z,2023-07-31T17:34:15.017Z,LAPSED,2022-05-27T20:19:00.000Z,5493001KJTIIGC8Y1R12,PARTIALLY_CORROBORATED,SUPPORTING_DOCUMENTS,https://www.ffiec.gov/npw/Institution/Profile/3409761?dt=20160505
170948,5493000LLVVQVKVT5O23,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2019-06-27T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,OTHER_ACCOUNTING_STANDARD,,,,2019-07-01T00:00:00+00:00,2024-04-21T11:50:19+00:00,PUBLISHED,2025-05-27T14:17:29+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,ACCOUNTS_FILING,https://find-and-update.company-information.service.gov.uk/company/11914640/filing-history/MzI3Nzk0Mzg5MWFkaXF6a2N4/document?format=pdf&download=0
172004,5493000QY2EN4QDHTJ68,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-10-02T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,US_GAAP,,,,2016-05-05T01:51:00+00:00,2024-04-23T13:06:05+00:00,PUBLISHED,2025-05-27T14:13:03+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,https://www.ffiec.gov/npw/Institution/Profile/1923049?dt=20161118
172026,5493000R4QN9LA8L4E66,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-10-02T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,US_GAAP,,,,2016-05-05T00:00:00+00:00,2024-04-27T16:13:51+00:00,PUBLISHED,2025-05-27T14:18:35+00:00,529900T8BM49AURSDO55,FULLY_CORROBORATED,SUPPORTING_DOCUMENTS,
172161,5493000SCC07UI6DB380,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_DIRECTLY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-10-02T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,US_GAAP,,,,2016-05-05T00:00:00+00:00,2024-04-25T11:19:00+00:00,PUBLISHED,2025-05-27T14:17:08+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,OTHER_OFFICIAL_DOCUMENTS,https://www.sec.gov/ix?doc=/Archives/edgar/data/831001/000083100120000031/c-12312019x10k.htm
172162,5493000SCC07UI6DB380,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-10-02T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,US_GAAP,,,,2016-05-05T00:00:00+00:00,2024-04-25T11:19:00+00:00,PUBLISHED,2025-05-27T14:17:08+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,ACCOUNTS_FILING,https://www.sec.gov/ix?doc=/Archives/edgar/data/831001/000083100120000031/c-12312019x10k.htm
172283,5493000TAE2UGVS7CL49,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2018-01-01T00:00:00.000Z,2018-12-31T00:00:00.000Z,ACCOUNTING_PERIOD,2017-10-02T00:00:00.000Z,,RELATIONSHIP_PERIOD,,,,,,,,,2016-05-05T01:55:00.000Z,2023-07-31T17:34:15.017Z,LAPSED,2020-06-30T02:58:00.000Z,5493001KJTIIGC8Y1R12,PARTIALLY_CORROBORATED,SUPPORTING_DOCUMENTS,
172662,5493000WB4DFG42V6W91,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-09-27T00:00:00+00:00,,RELATIONSHIP_PERIOD,2019-01-01T00:00:00+00:00,2019-12-31T00:00:00+00:00,DOCUMENT_FILING_PERIOD,ACCOUNTING_STANDARD,OTHER_ACCOUNTING_STANDARD,,,,2016-05-05T00:00:00+00:00,2024-04-21T11:31:34+00:00,PUBLISHED,2025-05-27T14:17:25+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,OTHER_OFFICIAL_DOCUMENTS,https://find-and-update.company-information.service.gov.uk/company/03999261/filing-history/MzI3Nzk0MzgwNmFkaXF6a2N4/document?format=pdf&download=0
172869,5493000Y09WWMH7LNH12,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2017-01-01T00:00:00.000Z,2017-12-31T00:00:00.000Z,ACCOUNTING_PERIOD,2017-10-18T00:00:00.000Z,,RELATIONSHIP_PERIOD,,,,,,,,,2017-09-02T01:56:00.000Z,2023-07-31T17:34:15.017Z,LAPSED,2019-07-19T00:35:00.000Z,5493001KJTIIGC8Y1R12,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
173129,5493000ZV76WCD753P74,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2020-01-01T00:00:00.000Z,2020-12-31T00:00:00.000Z,ACCOUNTING_PERIOD,2018-07-18T00:00:00.000Z,,RELATIONSHIP_PERIOD,,,,,,,,,2016-05-05T01:53:00.000Z,2023-07-31T17:34:15.017Z,LAPSED,2022-05-27T20:19:00.000Z,5493001KJTIIGC8Y1R12,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
173177,549300105XTU0QJRRN67,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-11-24T00:00:00+00:00,,RELATIONSHIP_PERIOD,2019-01-01T00:00:00+00:00,2019-12-31T00:00:00+00:00,DOCUMENT_FILING_PERIOD,ACCOUNTING_STANDARD,OTHER_ACCOUNTING_STANDARD,,,,2016-05-05T00:00:00+00:00,2024-04-21T11:33:45+00:00,PUBLISHED,2025-05-27T14:17:25+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,OTHER_OFFICIAL_DOCUMENTS,https://find-and-update.company-information.service.gov.uk/company/04329029/filing-history/MzI4MTM3MjE3MGFkaXF6a2N4/document?format=pdf&download=0
173583,54930013Y3E3B3V49E09,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2017-01-01T00:00:00.000Z,2017-12-31T00:00:00.000Z,ACCOUNTING_PERIOD,2017-10-19T00:00:00.000Z,,RELATIONSHIP_PERIOD,,,,,,,,,2017-09-02T01:56:00.000Z,2023-07-31T17:34:15.017Z,LAPSED,2019-07-19T00:33:00.000Z,5493001KJTIIGC8Y1R12,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
174140,54930018WK7Y5MGQ0U89,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-10-02T00:00:00+00:00,,RELATIONSHIP_PERIOD,2019-01-01T00:00:00+00:00,2019-12-31T00:00:00+00:00,DOCUMENT_FILING_PERIOD,ACCOUNTING_STANDARD,OTHER_ACCOUNTING_STANDARD,,,,2016-05-05T00:00:00+00:00,2024-04-22T19:10:25+00:00,PUBLISHED,2025-05-27T14:17:30+00:00,529900T8BM49AURSDO55,FULLY_CORROBORATED,OTHER_OFFICIAL_DOCUMENTS,https://find-and-update.company-information.service.gov.uk/company/05444256/filing-history/MzI3Nzk0MzgwM2FkaXF6a2N4/document?format=pdf&download=0
174311,5493001BEN84QYZC8J10,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-10-02T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,US_GAAP,,,,2016-05-05T00:00:00+00:00,2024-04-22T19:03:55+00:00,PUBLISHED,2025-05-27T14:17:22+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,OTHER_OFFICIAL_DOCUMENTS,
174418,5493001CI2FXPXJJNO42,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2019-06-27T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,US_GAAP,,,,2019-07-01T00:00:00+00:00,2024-04-30T11:51:35+00:00,PUBLISHED,2025-05-27T14:18:20+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
174530,5493001DF38UU9JP8827,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2016-01-01T00:00:00.000Z,2016-12-31T00:00:00.000Z,ACCOUNTING_PERIOD,2017-09-02T01:49:16.157Z,,RELATIONSHIP_PERIOD,,,,,,,,,2017-09-02T01:49:00.000Z,2023-07-31T17:34:15.017Z,LAPSED,2018-07-25T19:40:00.000Z,5493001KJTIIGC8Y1R12,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
175006,5493001H8KS45FU17L14,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2016-01-01T00:00:00.000Z,2016-12-31T00:00:00.000Z,ACCOUNTING_PERIOD,2017-09-02T01:43:49.626Z,,RELATIONSHIP_PERIOD,,,,,,,,,2017-09-02T01:43:00.000Z,2023-07-31T17:34:15.017Z,LAPSED,2018-07-25T19:42:00.000Z,5493001KJTIIGC8Y1R12,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
175386,5493001KIP3AQ2B80217,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2017-10-02T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,US_GAAP,,,,2016-05-05T00:00:00+00:00,2024-04-25T11:25:42+00:00,PUBLISHED,2025-05-27T14:17:08+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
175674,5493001MS4JEWBZGCX13,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2019-01-01T00:00:00Z,2019-12-31T00:00:00Z,ACCOUNTING_PERIOD,2017-09-28T00:00:00Z,,RELATIONSHIP_PERIOD,2019-01-01T00:00:00Z,2019-12-31T00:00:00Z,DOCUMENT_FILING_PERIOD,ACCOUNTING_STANDARD,OTHER_ACCOUNTING_STANDARD,,,,2016-05-05T01:53:00Z,2023-07-31T17:11:36.903Z,LAPSED,2022-05-27T19:36:00Z,213800WAVVOPS85N2205,FULLY_CORROBORATED,ACCOUNTS_FILING,
175977,5493001PB08FDPLMNX72,LEI,6SHGI4ZSSLCXXQSBB395,LEI,IS_ULTIMATELY_CONSOLIDATED_BY,ACTIVE,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,ACCOUNTING_PERIOD,2019-06-27T00:00:00+00:00,,RELATIONSHIP_PERIOD,,,,ACCOUNTING_STANDARD,US_GAAP,,,,2019-07-01T00:00:00+00:00,2023-05-04T08:23:35+00:00,PUBLISHED,2024-05-27T14:18:38+00:00,529900T8BM49AURSDO55,ENTITY_SUPPLIED_ONLY,SUPPORTING_DOCUMENTS,
